1,2018,100,63,59
2,2018,95,61,57
3,2018,92,59,55
4,2018,90,57,53
5,2018,88,55,50
6,2018,85,53,48
7,2018,84,50,46
8,2018,82,48,72
9,2018,80,46,100
10,2018,78,72,25
11,2018,75,100,88
12,2018,72,100,45
1,2019,70,95,92
2,2019,68,92,90
3,2019,65,90,88
4,2019,63,88,85
5,2019,61,85,84
6,2019,59,84,82
7,2019,57,82,80
8,2019,55,80,78
9,2019,53,78,75
10,2019,50,75,46
11,2019,48,72,72
12,2019,46,38,100
1,2020,72,78,100
2,2020,100,83,95
3,2020,25,56,92
4,2020,88,50,90
5,2020,45,25,88
6,2020,73,78,85
7,2020,29,50,84
8,2020,100,20,82
9,2020,99,20,80
10,2020,20,100,95
11,2020,16,70,95
12,2020,21,45,20
1,2021,32,60,27
2,2021,45,95,80
3,2021,60,95,90
4,2021,95,20,100
5,2021,95,27,100
6,2021,20,80,45
7,2021,27,90,50
8,2021,80,100,20
9,2021,90,100,20
10,2021,100,45,100
11,2021,100,38,70
12,2021,45,20,45
1,2022,38,27,60
2,2022,78,80,95
3,2022,83,90,95
4,2022,56,100,20
5,2022,50,100,27
6,2022,25,45,80
7,2022,78,38,90
8,2022,50,78,100
9,2022,20,83,78
10,2022,20,56,83
11,2022,100,50,56
12,2022,70,25,50
