1,2014,100,63
2,2014,95,61
3,2014,92,59
4,2014,90,57
5,2014,88,55
6,2014,85,53
7,2014,84,50
8,2014,82,48
9,2014,80,46
10,2014,78,72
11,2014,75,100
12,2014,72,100
1,2015,70,95
2,2015,68,92
3,2015,65,90
4,2015,63,88
5,2015,61,85
6,2015,59,84
7,2015,57,82
8,2015,55,80
9,2015,53,78
10,2015,50,75
11,2015,48,72
12,2015,46,38
1,2016,72,78
2,2016,100,83
3,2016,25,56
4,2016,88,50
5,2016,45,25
6,2016,73,78
7,2016,29,50
8,2016,100,20
9,2016,99,20
10,2016,20,100
11,2016,16,70
12,2016,21,45
1,2017,32,60
2,2017,45,95
3,2017,60,95
4,2017,95,20
5,2017,95,27
6,2017,20,80
7,2017,27,90
8,2017,80,100
9,2017,90,100
10,2017,100,45
11,2017,100,38
12,2017,45,20
1,2018,38,27
2,2018,78,80
3,2018,83,90
4,2018,56,100
5,2018,50,100
6,2018,25,45
7,2018,78,38
8,2018,50,78
9,2018,20,83
10,2018,20,56
11,2018,100,50
12,2018,70,25
