1,2014,100,88,48
2,2014,95,45,100
3,2014,92,73,25
4,2014,90,29,88
5,2014,88,100,45
6,2014,85,99,73
7,2014,84,20,29
8,2014,82,16,100
9,2014,80,21,99
10,2014,78,100,20
11,2014,75,45,16
12,2014,72,38,21
1,2015,70,55,100
2,2015,68,53,70
3,2015,65,50,68
4,2015,63,48,65
5,2015,61,100,63
6,2015,59,25,61
7,2015,57,88,59
8,2015,55,45,57
9,2015,53,73,55
10,2015,50,29,53
11,2015,48,100,66
12,2015,46,99,75
1,2016,72,20,72
2,2016,100,16,70
3,2016,25,21,68
4,2016,88,100,65
5,2016,45,45,63
6,2016,73,38,61
7,2016,29,78,59
8,2016,100,83,57
9,2016,99,56,55
10,2016,20,50,53
11,2016,16,25,50
12,2016,21,78,48
1,2017,32,50,50
2,2017,45,20,20
3,2017,60,20,20
4,2017,95,65,65
5,2017,95,63,63
6,2017,20,61,61
7,2017,27,59,59
8,2017,80,57,57
9,2017,90,55,55
10,2017,100,53,53
11,2017,100,50,45
12,2017,45,48,38
1,2018,38,100,78
2,2018,78,45,83
3,2018,83,38,56
4,2018,56,78,50
5,2018,50,83,25
6,2018,25,56,78
7,2018,78,50,50
8,2018,50,25,20
9,2018,20,78,27
10,2018,20,50,80
11,2018,100,20,90
12,2018,70,20,100
